Original,Translated,English,Bracket
rooh afza sharbat,rooh afza sharbat,rooh afza sharbat,
cinnamon stick (dalchini),cinnamon stick (dalchini),cinnamon stick,dalchini
yellow fenugreek seeds,yellow fenugreek seeds,yellow fenugreek seeds,
onion rings,onion rings,onion rings,
cabbage (patta gobi/ muttaikose),cabbage (patta gobi/ muttaikose),cabbage,patta gobi/ muttaikose
blueberries,blueberries,blueberries,
ciabatta bread,ciabatta bread,ciabatta bread,
avocados,avocados,avocados,
guntur red chillies,guntur red chillies,guntur red chillies,
arugula leaves,arugula leaves,arugula leaves,
canned black beans,canned black beans,canned black beans,
thattai,thattai,thattai,
yam,yam,yam,
asparagus,asparagus,asparagus,
cotton threads,cotton threads,cotton threads,
apple,apple,apple,
चिकन,chicken,chicken,chikana
spring onion leaves,spring onion leaves,spring onion leaves,
rajma,rajma,rajma,
red cabbage,red cabbage,red cabbage,
लौकी,bottle gourd,bottle gourd,lauki
thai red chilli (birds eye chilli),thai red chilli (birds eye chilli),thai red chilli,birds eye chilli
ड्रमस्टिक,drumstick,drumstick,dramastika
rice water,rice water,rice water,
blackberries,blackberries,blackberries,
all purpose pie crust,all purpose pie crust,all purpose pie crust,
बर्गर बन,become a burger,become a burger,bargara bana
cardamom (elaichi) pods/seeds,cardamom (elaichi) pods/seeds,cardamom  pods/seeds,elaichi
फ्लैक्स सीड्स पाउडर,flax seeds powder,flax seeds powder,phlaiksa sidsa paudara
homemade tomato puree,homemade tomato puree,homemade tomato puree,
थाई रेड चिल्ली,thai red chilli,thai red chilli,thai reda chilli
bajra flour ( pearl millet),bajra flour ( pearl millet),bajra flour, pearl millet
strawberries,strawberries,strawberries,
मटन,mutton,mutton,matana
great northern beans,great northern beans,great northern beans,
शक्कर,sugar,sugar,shakkara
britannia cheese spread - four pepper tango,britannia cheese spread - four pepper tango,britannia cheese spread - four pepper tango,
gnocchi,gnocchi,gnocchi,
बीन्स,beans,beans,binsa
dry red chilli,dry red chilli,dry red chilli,
masoor dal,masoor dal,masoor dal,
पैपरिका पाउडर,paprika powder,paprika powder,paiparika paudara
gherkins,gherkins,gherkins,
bocconcini cheese,bocconcini cheese,bocconcini cheese,
नारियल का पानी,coconut water,coconut water,nariyala ka pani
mustard seeds (rai / kadugu),mustard seeds (rai / kadugu),mustard seeds,rai / kadugu
फूल गोबी,flower gobi,flower gobi,phula gobi
chai masala,chai masala,chai masala,
gram flour (besan),gram flour (besan),gram flour,besan
lobia pods,lobia pods,lobia pods,
tea monk sei white tea,tea monk sei white tea,tea monk sei white tea,
napa cabbage,napa cabbage,napa cabbage,
tomato ketchup,tomato ketchup,tomato ketchup,
dabur homemade coconut milk,dabur homemade coconut milk,dabur homemade coconut milk,
anardana powder (pomegranate seed powder),anardana powder (pomegranate seed powder),anardana powder,pomegranate seed powder
raw mango,raw mango,raw mango,
इलाईची,cardamom,cardamom,ilaichi
ice apple (nongu),ice apple (nongu),ice apple,nongu
खुबानी,apostle,apostle,khubani
dried yellow/white peas (vatana),dried yellow/white peas (vatana),dried yellow/white peas,vatana
corn,corn,corn,
pink flesh dragon fruit/pitaya,pink flesh dragon fruit/pitaya,pink flesh dragon fruit/pitaya,
cabbage,cabbage,cabbage,
seaweed sheets,seaweed sheets,seaweed sheets,
wheat berries/ whole wheat,wheat berries/ whole wheat,wheat berries/ whole wheat,
onion (semolina/ rava),onion (semolina/ rava),onion,semolina/ rava
चाउ चाउ,chow chow,chow chow,chau chau
water,water,water,
hot water,hot water,hot water,
maple syrup,maple syrup,maple syrup,
bacon strips,bacon strips,bacon strips,
बेबी कॉर्न,baby corn,baby corn,bebi kaॉrna
kalonji seeds,kalonji seeds,kalonji seeds,
snow peas,snow peas,snow peas,
italian bread,italian bread,italian bread,
baguette,baguette,baguette,
अचारी मेयो,achari mayo,achari mayo,achari meyo
mint leaves (mint),mint leaves (mint),mint leaves,mint
ओलिव का तेल,olive oil,olive oil,oliva ka tela
galangal,galangal,galangal,
rice noodles (flat),rice noodles (flat),rice noodles,flat
dried red chillies,dried red chillies,dried red chillies,
snake gourd (pudulangai),snake gourd (pudulangai),snake gourd,pudulangai
tortilla,tortilla,tortilla,
tender coconut water,tender coconut water,tender coconut water,
prune spread,prune spread,prune spread,
slider bun,slider bun,slider bun,
vangi bath powder,vangi bath powder,vangi bath powder,
durum wheat spaghetti pasta,durum wheat spaghetti pasta,durum wheat spaghetti pasta,
natal plum (karonde),natal plum (karonde),natal plum,karonde
tea leaves,tea leaves,tea leaves,
sunflower seeds,sunflower seeds,sunflower seeds,
dried shrimps,dried shrimps,dried shrimps,
papaya juice,papaya juice,papaya juice,
vegan yogurt starter,vegan yogurt starter,vegan yogurt starter,
m&m’s chocolate candies,m&m’s chocolate candies,m&m’s chocolate candies,
red chillie powder,red chillie powder,red chillie powder,
soba noodles,soba noodles,soba noodles,
पिस्ता,pistachios,pistachios,pista
तुअर दाल,pigeon pea,pigeon pea,tuara dala
tutti frutti,tutti frutti,tutti frutti,
pine nuts,pine nuts,pine nuts,
lebanese cucumber,lebanese cucumber,lebanese cucumber,
नीम के पत्ते,leaves of the neem tree,leaves of the neem tree,nima ke patte
agar agar,agar agar,agar agar,
तिल का पाउडर,sesame powder,sesame powder,tila ka paudara
cinnamon powder,cinnamon powder,cinnamon powder,
del monte green olives,del monte green olives,del monte green olives,
ब्रोकली,broccoli,broccoli,brokali
capsicum (red),capsicum (red),capsicum,red
baby brinjals,baby brinjals,baby brinjals,
britannia cheese spread - asli pepper,britannia cheese spread - asli pepper,britannia cheese spread - asli pepper,
eggs,eggs,eggs,
soft taco shells,soft taco shells,soft taco shells,
vegetable stock,vegetable stock,vegetable stock,
capsicum (yellow),capsicum (yellow),capsicum,yellow
करेला,bitter gourd,bitter gourd,karela
apple juice,apple juice,apple juice,
biryani masala powder,biryani masala powder,biryani masala powder,
अजवाइन,celery,celery,ajavaina
kashmiri rajma,kashmiri rajma,kashmiri rajma,
turmeric,turmeric,turmeric,
chocolate chips,chocolate chips,chocolate chips,
pumpkin pie spice,pumpkin pie spice,pumpkin pie spice,
eno fruit salt,eno fruit salt,eno fruit salt,
pork belly,pork belly,pork belly,
white chocolate,white chocolate,white chocolate,
plum rose fruit,plum rose fruit,plum rose fruit,
green chutney (coriander & mint),green chutney (coriander & mint),green chutney,coriander & mint
लोबिया फली,lobia pod,lobia pod,lobiya phali
ripe bananas,ripe bananas,ripe bananas,
flax seed powder (flax meal),flax seed powder (flax meal),flax seed powder,flax meal
cardamom powder (elaichi),cardamom powder (elaichi),cardamom powder,elaichi
tamarind water,tamarind water,tamarind water,
kachri (wild cucumber),kachri (wild cucumber),kachri,wild cucumber
kewra water,kewra water,kewra water,
ssp asafoetida (hing),ssp asafoetida (hing),ssp asafoetida,hing
lady fish,lady fish,lady fish,
parmigiano reggiano cheese,parmigiano reggiano cheese,parmigiano reggiano cheese,
ajwain,ajwain,ajwain,
fish,fish,fish,
tandoori masala,tandoori masala,tandoori masala,
potato straws,potato straws,potato straws,
parwal,parwal,parwal,
ताजे हर्ब,fresh herb,fresh herb,taje harba
ashgourd pumpkin,ashgourd pumpkin,ashgourd pumpkin,
टमाटर,tomato,tomato,tamatara
लौंग,clove,clove,laumga
kokum (malabar tamarind),kokum (malabar tamarind),kokum,malabar tamarind
nando's peri peri chicken sauce,nando's peri peri chicken sauce,nando's peri peri chicken sauce,
panch phoran masala,panch phoran masala,panch phoran masala,
करी पत्ते,curry leaves,curry leaves,kari patte
sultanas,sultanas,sultanas,
tahini,tahini,tahini,
तंदूरी मसाला,tanduri masala,tanduri masala,tamduri masala
dry ginger powder,dry ginger powder,dry ginger powder,
turmeric powder ( haldi),turmeric powder ( haldi),turmeric powder, haldi
rice flour,rice flour,rice flour,
sweet piquanté pepper,sweet piquanté pepper,sweet piquanté pepper,
हरा चना,green gram,green gram,hara chana
mixed vegetables,mixed vegetables,mixed vegetables,
white wine vinegar,white wine vinegar,white wine vinegar,
mushroom stems,mushroom stems,mushroom stems,
मूंगफली पाउडर,peanut powder,peanut powder,mumgaphali paudara
malwani masala,malwani masala,malwani masala,
green coriander,green coriander,green coriander,
sangri,sangri,sangri,
chicken breast,chicken breast,chicken breast,
cranberries,cranberries,cranberries,
हरा मटर,green peas,green peas,hara matara
green chilly,green chilly,green chilly,
green moong dal (split),green moong dal (split),green moong dal,split
सफ़ेद उरद दाल,white urad dal,white urad dal,safeda urada dala
garlic bread spice mix,garlic bread spice mix,garlic bread spice mix,
char magaz,char magaz,char magaz,
raw banana,raw banana,raw banana,
अरबी,arabic,arabic,arabi
avarekalu / lilva beans,avarekalu / lilva beans,avarekalu / lilva beans,
green peas (matar),green peas (matar),green peas,matar
lemon zest,lemon zest,lemon zest,
yellow moong dal,yellow moong dal,yellow moong dal,
नटमेग पाउडर,natmeg powder,natmeg powder,natamega paudara
evaporated milk,evaporated milk,evaporated milk,
urad dal papad,urad dal papad,urad dal papad,
conchiglie pasta,conchiglie pasta,conchiglie pasta,
flax seeds,flax seeds,flax seeds,
gongura leaves (red roselle),gongura leaves (red roselle),gongura leaves,red roselle
lettuce,lettuce,lettuce,
soya chunks,soya chunks,soya chunks,
buttermilk,buttermilk,buttermilk,
shark fish,shark fish,shark fish,
rosemary,rosemary,rosemary,
dry coconut (kopra),dry coconut (kopra),dry coconut,kopra
chana dal (bengal gram dal),chana dal (bengal gram dal),chana dal,bengal gram dal
green bell peppers,green bell peppers,green bell peppers,
moong bori (dried lentil dumplings),moong bori (dried lentil dumplings),moong bori,dried lentil dumplings
pomegranate sauce,pomegranate sauce,pomegranate sauce,
chiroti rava,chiroti rava,chiroti rava,
अमरंथ के पत्ते,horny leaves,horny leaves,amaramtha ke patte
dark chocolate,dark chocolate,dark chocolate,
brinjal,brinjal,brinjal,
broken raw rice,broken raw rice,broken raw rice,
risotto rice,risotto rice,risotto rice,
orange bell pepper (capsicum),orange bell pepper (capsicum),orange bell pepper,capsicum
chana masala powder,chana masala powder,chana masala powder,
chicken wings,chicken wings,chicken wings,
pears,pears,pears,
indian borage (doddapatre),indian borage (doddapatre),indian borage,doddapatre
black raisins,black raisins,black raisins,
ragi rava,ragi rava,ragi rava,
mangodi,mangodi,mangodi,
schezwan sauce,schezwan sauce,schezwan sauce,
fish fillet,fish fillet,fish fillet,
weet bix,weet bix,weet bix,
chicken masala,chicken masala,chicken masala,
black pepper corns,black pepper corns,black pepper corns,
nutmeg,nutmeg,nutmeg,
mini pita breads,mini pita breads,mini pita breads,
desiccated coconut,desiccated coconut,desiccated coconut,
white wine,white wine,white wine,
sumac,sumac,sumac,
jamun (black plum),jamun (black plum),jamun,black plum
pumpkin pasta sauce,pumpkin pasta sauce,pumpkin pasta sauce,
cocoa powder,cocoa powder,cocoa powder,
अमरुद,guava,guava,amaruda
crabs,crabs,crabs,
banana flower (vazhaipoo),banana flower (vazhaipoo),banana flower,vazhaipoo
कोकम,kokum,kokum,kokama
rabri,rabri,rabri,
हक्का नूडल्स,hakka noodles,hakka noodles,hakka nudalsa
pink masoor dal (split),pink masoor dal (split),pink masoor dal,split
coconut milk,coconut milk,coconut milk,
bhetki fish,bhetki fish,bhetki fish,
नारियल पाउडर,coconut powder,coconut powder,nariyala paudara
filter coffee powder,filter coffee powder,filter coffee powder,
मक्का,maize,maize,makka
urad dal,urad dal,urad dal,
क्रीम,cream,cream,krima
glucose,glucose,glucose,
vivatta maida,vivatta maida,vivatta maida,
jackfruit raw (kathal),jackfruit raw (kathal),jackfruit raw,kathal
idli,idli,idli,
काली मिर्च पाउडर,freshly ground black pepper,freshly ground black pepper,kali mircha paudara
charcoal,charcoal,charcoal,
pabda fish,pabda fish,pabda fish,
thai yellow curry paste,thai yellow curry paste,thai yellow curry paste,
nendra pazham banana (ripe),nendra pazham banana (ripe),nendra pazham banana,ripe
lamb,lamb,lamb,
elephant yam,elephant yam,elephant yam,
musk melon,musk melon,musk melon,
basil leaves,basil leaves,basil leaves,
methi seeds (fenugreek seeds),methi seeds (fenugreek seeds),methi seeds,fenugreek seeds
lemon juice,lemon juice,lemon juice,
mint,mint,mint,
coconut oil,coconut oil,coconut oil,
za'atar,za'atar,za'atar,
tamarind,tamarind,tamarind,
muri masala,muri masala,muri masala,
whole wheat bread crumbs,whole wheat bread crumbs,whole wheat bread crumbs,
garam masala powder,garam masala powder,garam masala powder,
spinach leaves (palak),spinach leaves (palak),spinach leaves,palak
khuskhus,khuskhus,khuskhus,
pickled onions,pickled onions,pickled onions,
chana stock,chana stock,chana stock,
dried basil leaves,dried basil leaves,dried basil leaves,
barnyard millet (bhagar flour),barnyard millet (bhagar flour),barnyard millet,bhagar flour
ओटमील,oatmeal,oatmeal,otamila
cheese cubes,cheese cubes,cheese cubes,
fresh thyme leaves,fresh thyme leaves,fresh thyme leaves,
tinda,tinda,tinda,
chikoo (sapota fruit),chikoo (sapota fruit),chikoo,sapota fruit
squid,squid,squid,
kashmiri dry red chillies,kashmiri dry red chillies,kashmiri dry red chillies,
fresh oregano,fresh oregano,fresh oregano,
kaffir lime juice,kaffir lime juice,kaffir lime juice,
बड़ी इलाईची,black cardamom,black cardamom,ba.di ilaichi
mango (ripe),mango (ripe),mango,ripe
कलौंजी के बीज,fennel seeds,fennel seeds,kalaumji ke bija
iceberg lettuce,iceberg lettuce,iceberg lettuce,
submarine bread (subway bread),submarine bread (subway bread),submarine bread,subway bread
चाट मसाला पाउडर,chaat masala powder,chaat masala powder,chata masala paudara
whole black peppercorns,whole black peppercorns,whole black peppercorns,
ग्रीन चिल्ली सॉस,green chilli sauce,green chilli sauce,grina chilli saॉsa
kandathipli,kandathipli,kandathipli,
green chilli,green chilli,green chilli,
butter (salted),butter (salted),butter,salted
curd (dahi / yogurt),curd (dahi / yogurt),curd,dahi / yogurt
rocket leaves,rocket leaves,rocket leaves,
small brinjal (baingan / eggplant),small brinjal (baingan / eggplant),small brinjal,baingan / eggplant
white urad dal (split),white urad dal (split),white urad dal,split
wheat flakes (cereal),wheat flakes (cereal),wheat flakes,cereal
धनिये के बीज,coriander seeds,coriander seeds,dhaniye ke bija
del monte tandoori mayo,del monte tandoori mayo,del monte tandoori mayo,
red black eyed beans (azuki),red black eyed beans (azuki),red black eyed beans,azuki
mussels,mussels,mussels,
french fries,french fries,french fries,
pomegranate molasses,pomegranate molasses,pomegranate molasses,
del monte mint mayo,del monte mint mayo,del monte mint mayo,
khoya,khoya,khoya,
dried neem flowers,dried neem flowers,dried neem flowers,
refined flour (all purpose flour),refined flour (all purpose flour),refined flour,all purpose flour
green apple,green apple,green apple,
सोया सॉस,soy sauce,soy sauce,soya saॉsa
rajgira flour,rajgira flour,rajgira flour,
cheese slices,cheese slices,cheese slices,
cheese,cheese,cheese,
tea monk oolong tea,tea monk oolong tea,tea monk oolong tea,
worcestershire sauce,worcestershire sauce,worcestershire sauce,
डबल बीन्स,double beans,double beans,dabala binsa
bottle gourd (lauki),bottle gourd (lauki),bottle gourd,lauki
dried red chilies,dried red chilies,dried red chilies,
mutton legs,mutton legs,mutton legs,
spirali pasta,spirali pasta,spirali pasta,
पालक,spinach,spinach,palaka
maharashtrian goda masala,maharashtrian goda masala,maharashtrian goda masala,
multigrain digestive oat biscuits,multigrain digestive oat biscuits,multigrain digestive oat biscuits,
mango,mango,mango,
raisins,raisins,raisins,
roasted gram flour (sattu ka atta),roasted gram flour (sattu ka atta),roasted gram flour,sattu ka atta
maltesers,maltesers,maltesers,
धंसक मसाला,smelling masala,smelling masala,dhamsaka masala
veeba carrot cucumber sandwich spread,veeba carrot cucumber sandwich spread,veeba carrot cucumber sandwich spread,
amla (nellikai/ gooseberry),amla (nellikai/ gooseberry),amla,nellikai/ gooseberry
मसूर दाल,red lentil,red lentil,masura dala
वांगी भात पाउडर,wangi bhat powder,wangi bhat powder,vamgi bhata paudara
गुलाब के पत्ते,rose leaves,rose leaves,gulaba ke patte
सूखे मटर,dried peas,dried peas,sukhe matara
peanut butter,peanut butter,peanut butter,
gram dal,gram dal,gram dal,
dagad phool (/pathar phool/black stone flower),dagad phool (/pathar phool/black stone flower),dagad phool,/pathar phool/black stone flower
cashews,cashews,cashews,
herring fish steaks,herring fish steaks,herring fish steaks,
khaman dhokla,khaman dhokla,khaman dhokla,
multi millet penne pasta,multi millet penne pasta,multi millet penne pasta,
कल्पासी के पत्ते,kalpasi leaves,kalpasi leaves,kalpasi ke patte
किसमिस,kissamis,kissamis,kisamisa
acorn squash,acorn squash,acorn squash,
काजू,cashew,cashew,kaju
soy chunks (nuggets),soy chunks (nuggets),soy chunks,nuggets
red matta rice,red matta rice,red matta rice,
kabuli chana (white chickpeas),kabuli chana (white chickpeas),kabuli chana,white chickpeas
goji berries,goji berries,goji berries,
homemade mole sauce,homemade mole sauce,homemade mole sauce,
barbeque sauce,barbeque sauce,barbeque sauce,
whole black pepper,whole black pepper,whole black pepper,
guacamole,guacamole,guacamole,
फलिया,bearing,bearing,phaliya
रोस्टेड चना दाल,roasted gram dal,roasted gram dal,rosteda chana dala
saffron,saffron,saffron,
italian seasoning,italian seasoning,italian seasoning,
rabodi,rabodi,rabodi,
roasted chana dal,roasted chana dal,roasted chana dal,
बेसिल,basil,basil,besila
chole masala,chole masala,chole masala,
whole wheat flour,whole wheat flour,whole wheat flour,
cayenne pepper,cayenne pepper,cayenne pepper,
britannia cheese spread - roasted garlic,britannia cheese spread - roasted garlic,britannia cheese spread - roasted garlic,
classic alfredo pasta sauce,classic alfredo pasta sauce,classic alfredo pasta sauce,
कॉर्न फ्लौर,corn flour,corn flour,kaॉrna phlaura
bhang paste,bhang paste,bhang paste,
cumin seeds,cumin seeds,cumin seeds,
cooking soda,cooking soda,cooking soda,
pani puris,pani puris,pani puris,
zucchini,zucchini,zucchini,
coca cola,coca cola,coca cola,
ajwain (carom seeds),ajwain (carom seeds),ajwain,carom seeds
tindora (dondakaya/ kovakkai),tindora (dondakaya/ kovakkai),tindora,dondakaya/ kovakkai
bourbon biscuits,bourbon biscuits,bourbon biscuits,
makhana,makhana,makhana,
dry mango powder,dry mango powder,dry mango powder,
instant oats (oatmeal),instant oats (oatmeal),instant oats,oatmeal
चीली फलैक्स,chile flex,chile flex,chili phalaiksa
groundnut oil,groundnut oil,groundnut oil,
केला,banana,banana,kela
dried red chili,dried red chili,dried red chili,
sweet potato,sweet potato,sweet potato,
bisleri fonzo,bisleri fonzo,bisleri fonzo,
multigrain digestive ragi biscuits,multigrain digestive ragi biscuits,multigrain digestive ragi biscuits,
puffed rice,puffed rice,puffed rice,
white onion,white onion,white onion,
sabja seeds,sabja seeds,sabja seeds,
del monte farfalle pasta,del monte farfalle pasta,del monte farfalle pasta,
byadagi dried chillies,byadagi dried chillies,byadagi dried chillies,
grape juice,grape juice,grape juice,
तिल (सफ़ेद),mole (white),mole,tila (safeda)
tea,tea,tea,
hung,hung,hung,
veeba honey mustard sauce,veeba honey mustard sauce,veeba honey mustard sauce,
classic mayonnaise (with egg),classic mayonnaise (with egg),classic mayonnaise,with egg
alfalfa sprouts,alfalfa sprouts,alfalfa sprouts,
mint leaves (pudina),mint leaves (pudina),mint leaves,pudina
papaya,papaya,papaya,
kataifi dough,kataifi dough,kataifi dough,
kala jeera,kala jeera,kala jeera,
clamps,clamps,clamps,
ranch,ranch,ranch,
coconut,coconut,coconut,
fresh turmeric root,fresh turmeric root,fresh turmeric root,
rajma (large kidney beans),rajma (large kidney beans),rajma,large kidney beans
dried rose petals,dried rose petals,dried rose petals,
काली चाय,black tea,black tea,kali chaya
round dry red chilies,round dry red chilies,round dry red chilies,
ice cubes,ice cubes,ice cubes,
fennel,fennel,fennel,
पिली ककड़ी,pili cucumber,pili cucumber,pili kaka.di
dill leaves,dill leaves,dill leaves,
orange,orange,orange,
आलू मसाला,potato masala,potato masala,alu masala
pumpkin seeds,pumpkin seeds,pumpkin seeds,
capsicum (green),capsicum (green),capsicum,green
methi powder (fenugreek powder),methi powder (fenugreek powder),methi powder,fenugreek powder
अदरक लहसुन का पेस्ट,ginger garlic paste,ginger garlic paste,adaraka lahasuna ka pesta
garlic and oregano spread,garlic and oregano spread,garlic and oregano spread,
fennel green leafy fronds,fennel green leafy fronds,fennel green leafy fronds,
जावित्री,javitri,javitri,javitri
लाल मिर्च,red chilli,red chilli,lala mircha
colocasia leaves (arbi),colocasia leaves (arbi),colocasia leaves,arbi
shrikhand,shrikhand,shrikhand,
spring onion,spring onion,spring onion,
black sesame seeds,black sesame seeds,black sesame seeds,
star anise,star anise,star anise,
instant coffee powder,instant coffee powder,instant coffee powder,
